item,fips,fcode
MAN450207,38027,6021
MAN450207,38029,6021
MAN450207,38031,6021
MAN450207,38033,6021
MAN450207,38037,6021
MAN450207,38039,6021
MAN450207,38041,6021
MAN450207,38043,6021
MAN450207,38045,6021
MAN450207,38047,6021
MAN450207,38049,6021
MAN450207,38051,6021
MAN450207,38053,6021
MAN450207,38055,6021
MAN450207,38057,6021
MAN450207,38061,6021
MAN450207,38063,6021
MAN450207,38065,6021
MAN450207,38069,6021
MAN450207,38071,6021
MAN450207,38073,6021
MAN450207,38075,6021
MAN450207,38079,6021
MAN450207,38083,6021
MAN450207,38085,6021
MAN450207,38087,6021
MAN450207,38091,6021
MAN450207,38095,6021
MAN450207,38097,6021
MAN450207,38103,6021
MAN450207,38105,6021
MAN450207,39009,6021
MAN450207,39053,6021
MAN450207,39105,6021
MAN450207,39115,6021
MAN450207,39121,6021
MAN450207,40003,6021
MAN450207,40005,6021
MAN450207,40007,6021
MAN450207,40009,6021
MAN450207,40011,6021
MAN450207,40015,6021
MAN450207,40021,6021
MAN450207,40023,6021
MAN450207,40025,6021
MAN450207,40029,6021
MAN450207,40033,6021
MAN450207,40043,6021
MAN450207,40045,6021
MAN450207,40053,6021
MAN450207,40055,6021
MAN450207,40057,6021
MAN450207,40059,6021
MAN450207,40061,6021
MAN450207,40063,6021
MAN450207,40067,6021
MAN450207,40069,6021
MAN450207,40073,6021
MAN450207,40075,6021
MAN450207,40077,6021
MAN450207,40083,6021
MAN450207,40085,6021
MAN450207,40087,6021
MAN450207,40091,6021
MAN450207,40093,6021
MAN450207,40099,6021
MAN450207,40105,6021
MAN450207,40107,6021
MAN450207,40113,6021
MAN450207,40117,6021
MAN450207,40127,6021
MAN450207,40129,6021
MAN450207,40141,6021
MAN450207,40149,6021
MAN450207,40151,6021
MAN450207,40153,6021
MAN450207,41021,6021
MAN450207,41023,6021
MAN450207,41025,6021
MAN450207,41037,6021
MAN450207,41055,6021
MAN450207,41063,6021
MAN450207,41065,6021
MAN450207,41069,6021
MAN450207,42053,6021
MAN450207,42103,6021
MAN450207,42113,6021
MAN450207,45061,6021
MAN450207,45065,6021
MAN450207,45081,6021
MAN450207,46003,6021
MAN450207,46007,6021
MAN450207,46009,6021
MAN450207,46015,6021
MAN450207,46017,6021
MAN450207,46019,6021
MAN450207,46021,6021
MAN450207,46023,6021
MAN450207,46025,6021
MAN450207,46027,6021
MAN450207,46031,6021
MAN450207,46033,6021
MAN450207,46037,6021
MAN450207,46039,6021
MAN450207,46041,6021
MAN450207,46043,6021
MAN450207,46045,6021
MAN450207,46047,6021
MAN450207,46049,6021
MAN450207,46053,6021
MAN450207,46055,6021
MAN450207,46057,6021
MAN450207,46059,6021
MAN450207,46061,6021
MAN450207,46063,6021
MAN450207,46065,6021
MAN450207,46067,6021
MAN450207,46069,6021
MAN450207,46071,6021
MAN450207,46075,6021
MAN450207,46077,6021
MAN450207,46085,6021
MAN450207,46087,6021
MAN450207,46089,6021
MAN450207,46091,6021
MAN450207,46093,6021
MAN450207,46095,6021
MAN450207,46097,6021
MAN450207,46101,6021
MAN450207,46105,6021
MAN450207,46107,6021
MAN450207,46109,6021
MAN450207,46111,6021
MAN450207,46113,6021
MAN450207,46115,6021
MAN450207,46117,6021
MAN450207,46119,6021
MAN450207,46121,6021
